variable,coefficient
AgeC_rcs1,0.245811442
AgeC_rcs2,-0.602259937
AgeC_rcs3,1.111993723
AgeC_rcs4,-0.839994054
EthnSEAsian4C_cat,-0.086445329
EthnOther4C_cat,0.022782861
EthnSWAsian4C_cat,0.124444015
ImmigrantC_cat,-0.039338602
EduHSGrad2C_cat,-0.058628035
EduSomePS2C_cat,-0.11971784
EduPSGrad2C_cat,-0.101779281
MSDivorcedC_cat,0.100381409
MSWidowedC_cat,0.052282905
MSSingleC_cat,0.081491312
MultilingualC_cat,0.031286227
DepIndModC_cat,0.006387228
DepIndHighC_cat,0.02427905
BelongSomeC_cat,-0.015699015
BelongSWeakC_cat,0.050335437
BelongVWeakC_cat,0.038849086
StressNotVeryC_cat,-0.072801837
StressABitC_cat,0.010911716
StressQuiteC_cat,0.05241279
StressExtreamlyC_cat,0.097635625
SRHealthPoorC_cat,-0.004300496
SRHealthFairC_cat,0.000823883
SRHealthGoodC_cat,0.072585593
SRHealthVGoodC_cat,0.06387516
PackYearsC_rcs1,0.006602825
PackYearsC_rcs2,-0.051379465
SmokeFormer5PlusC_cat,0.026782994
SmokeFormer0to5C_cat,0.118058345
SmokeCurrentC_cat,0.036175633
DrinksLastWeekC_rcs1,-0.026856739
DrinksLastWeekC_rcs2,0.025740269
FormerDrinkerC_cat,0.129149448
FruitVegC_rcs1,-0.063047465
FruitVegC_rcs2,0.039612982
PotatoC_rcs1,0.09986688
PotatoC_rcs2,0.117436765
JuiceC_rcs1,0.17033848
JuiceC_rcs2,-0.042016202
PhysicalActivityC_rcs1,-0.039363783
PhysicalActivityC_rcs2,0.058783903
HeartDisC_cat,0.05359107
StrokeC_cat,0.360768711
DiabetesC_cat,0.401003449
MoodC_cat,0.295548092
HypertensionC_cat,-0.007617754
COPDC_cat,-0.194624828
EpilepsyC_cat,0.357491309
BMIC_rcs1,-0.040962277
BMIC_rcs2,0.016742361
SurveyCycle2C_cat,0.020208886
SurveyCycle3C_cat,-0.138972937
SurveyCycle4C_cat,-0.226882704
SurveyCycle5C_cat,-0.358420589
SurveyCycle6C_cat,-0.457557168
NeedHelp1C_cat,0.241929347
NeedHelp2C_cat,0.369211789
NeedHelp3C_cat,0.442776235
NeedHelp4C_cat,0.43164512
NeedHelp5C_cat,0.300572591
NeedHelp6C_cat,0.598880471
AgeCXPackYearsC_int,-0.000155303
AgeCXSmokeFormer5PlusC_int,0.002104844
AgeCXSmokeFormer0to5C_int,-0.007477601
AgeCXSmokeCurrentC_int,-0.012096831
AgeCXDrinksLastWeekC_int,4.21038E-05
AgeCXFormerDrinkerC_int,-0.005996153
AgeCXFruitVegC_int,0.001695536
AgeCXJuiceC_int,-0.007165992
AgeCXPotatoC_int,-0.006942913
AgeCXPhysicalActivityC_int,-0.001264883
AgeCXHeartDisC_int,-0.018019932
AgeCXStrokeC_int,0.000249533
AgeCXDiabetesC_int,-0.024259478
AgeCXMoodC_int,-0.003014549
AgeCXHypertensionC_int,-0.01387805
AgeCXCOPDC_int,-0.006590176
AgeCXEpilepsyC_int,-0.035556937
AgeCXBMIC_int,0.000660283
AgeCXNeedHelp1C_int,-0.024212271
AgeCXNeedHelp2C_int,-0.016363282
AgeCXNeedHelp3C_int,-0.03652288
AgeCXNeedHelp4C_int,-0.025007238
AgeCXNeedHelp5C_int,-0.023608688
AgeCXNeedHelp6C_int,-0.0601175
