variable,coefficient
AgeC_rcs1,0.186948222
AgeC_rcs2,-0.208431344
AgeC_rcs3,0.485770207
AgeC_rcs4,-0.609083009
EthnSEAsian4C_cat,-0.600479171
EthnOther4C_cat,0.016519847
EthnSWAsian4C_cat,-0.393851507
ImmigrantC_cat,-0.048409716
EduHSGrad2C_cat,-0.006945236
EduSomePS2C_cat,-0.066988854
EduPSGrad2C_cat,-0.049163069
MSDivorcedC_cat,0.077155296
MSWidowedC_cat,-0.039595076
MSSingleC_cat,-0.083300658
MultilingualC_cat,0.080775854
DepIndModC_cat,0.020420917
DepIndHighC_cat,0.05363451
BelongSomeC_cat,0.00100718
BelongSWeakC_cat,0.07401343
BelongVWeakC_cat,0.05892163
StressNotVeryC_cat,-0.011916786
StressABitC_cat,0.120248532
StressQuiteC_cat,0.220360094
StressExtreamlyC_cat,0.231034604
SRHealthPoorC_cat,0.02869279
SRHealthFairC_cat,0.164825253
SRHealthGoodC_cat,0.138370618
SRHealthVGoodC_cat,0.084207705
PackYearsC_rcs1,-0.007757067
PackYearsC_rcs2,0.01538274
SmokeFormer5PlusC_cat,0.036955367
SmokeFormer0to5C_cat,-0.05455439
SmokeCurrentC_cat,0.079435738
DrinksLastWeekC_rcs1,-0.014145404
DrinksLastWeekC_rcs2,0.049521813
FormerDrinkerC_cat,0.118871804
FruitVegC_rcs1,-0.058761936
FruitVegC_rcs2,0.069325099
PotatoC_rcs1,-0.033581197
PotatoC_rcs2,0.273992634
JuiceC_rcs1,0.017036305
JuiceC_rcs2,0.056731103
PhysicalActivityC_rcs1,-0.051918917
PhysicalActivityC_rcs2,0.035788235
HeartDisC_cat,-0.13941122
StrokeC_cat,0.414631688
DiabetesC_cat,0.144874896
MoodC_cat,0.177898686
HypertensionC_cat,-0.080134465
COPDC_cat,-0.098972673
EpilepsyC_cat,0.439421757
BMIC_rcs1,-0.020440035
BMIC_rcs2,0.009470954
SurveyCycle2C_cat,-0.166609875
SurveyCycle3C_cat,-0.125196778
SurveyCycle4C_cat,-0.479241155
SurveyCycle5C_cat,-0.422986423
SurveyCycle6C_cat,-0.525077076
NeedHelp1C_cat,0.446986662
NeedHelp2C_cat,0.198684627
NeedHelp3C_cat,0.329124216
NeedHelp4C_cat,0.47855559
NeedHelp5C_cat,0.810707843
NeedHelp6C_cat,0.224236844
AgeCXPackYearsC_int,3.70E-05
AgeCXSmokeFormer5PlusC_int,-0.006966415
AgeCXSmokeFormer0to5C_int,-0.005178473
AgeCXSmokeCurrentC_int,-0.007886323
AgeCXDrinksLastWeekC_int,0.000629984
AgeCXFormerDrinkerC_int,0.000248918
AgeCXFruitVegC_int,0.00127815
AgeCXJuiceC_int,-0.010293074
AgeCXPotatoC_int,-0.013062339
AgeCXPhysicalActivityC_int,0.001894351
AgeCXHeartDisC_int,-0.000964854
AgeCXStrokeC_int,-0.004966507
AgeCXDiabetesC_int,-0.009935096
AgeCXMoodC_int,-0.010602501
AgeCXHypertensionC_int,-0.008978076
AgeCXCOPDC_int,-0.010828026
AgeCXEpilepsyC_int,-0.002501313
AgeCXBMIC_int,0.000463486
AgeCXNeedHelp1C_int,-0.019958695
AgeCXNeedHelp2C_int,-0.007936126
AgeCXNeedHelp3C_int,-0.011612677
AgeCXNeedHelp4C_int,-0.036183209
AgeCXNeedHelp5C_int,-0.036833014
AgeCXNeedHelp6C_int,-0.030386818
