variable,coefficient
AgeC_rcs1,0.245279263
AgeC_rcs2,-0.59957265
AgeC_rcs3,1.106105622
AgeC_rcs4,-0.835209921
MSDivorcedC_cat,0.106533382
MSWidowedC_cat,0.054321533
MSSingleC_cat,0.088459004
EduHSGrad2C_cat,-0.066693097
EduSomePS2C_cat,-0.126138518
EduPSGrad2C_cat,-0.109690884
StressNotVeryC_cat,-0.070428472
StressABitC_cat,0.021273964
StressQuiteC_cat,0.07269401
StressExtreamlyC_cat,0.122294467
PackYearsC_rcs1,0.00696192
PackYearsC_rcs2,-0.052875288
SmokeFormer5PlusC_cat,0.02632212
SmokeFormer0to5C_cat,0.123883776
SmokeCurrentC_cat,0.039406677
DrinksLastWeekC_rcs1,-0.028630605
DrinksLastWeekC_rcs2,0.027864201
FormerDrinkerC_cat,0.131370158
FruitVegC_rcs1,-0.064852024
FruitVegC_rcs2,0.040922731
PotatoC_rcs1,0.096159111
PotatoC_rcs2,0.125711938
JuiceC_rcs1,0.169633579
JuiceC_rcs2,-0.040861136
PhysicalActivityC_rcs1,-0.046545656
PhysicalActivityC_rcs2,0.065910843
COPDC_cat,-0.18354168
HeartDisC_cat,0.067801038
StrokeC_cat,0.368505128
DiabetesC_cat,0.40951651
MoodC_cat,0.304972654
HypertensionC_cat,-0.004768246
EpilepsyC_cat,0.357291218
BMIC_rcs1,-0.041788926
BMIC_rcs2,0.018017794
NeedHelp1C_cat,0.259410494
NeedHelp2C_cat,0.39347433
NeedHelp3C_cat,0.475296526
NeedHelp4C_cat,0.466321125
NeedHelp5C_cat,0.33186687
NeedHelp6C_cat,0.628219989
SurveyCycle2C_cat,0.017878485
SurveyCycle3C_cat,-0.142443061
SurveyCycle4C_cat,-0.234082293
SurveyCycle5C_cat,-0.365462336
SurveyCycle6C_cat,-0.466450071
AgeCXPackYearsC_int,-0.000155971
AgeCXSmokeFormer5PlusC_int,0.002122531
AgeCXSmokeFormer0to5C_int,-0.007432523
AgeCXSmokeCurrentC_int,-0.01222868
AgeCXDrinksLastWeekC_int,3.86057E-05
AgeCXFormerDrinkerC_int,-0.005918187
AgeCXFruitVegC_int,0.001669135
AgeCXJuiceC_int,-0.007208772
AgeCXPotatoC_int,-0.006889885
AgeCXPhysicalActivityC_int,-0.001253917
AgeCXCOPDC_int,-0.006717978
AgeCXHeartDisC_int,-0.018081279
AgeCXStrokeC_int,0.000146041
AgeCXDiabetesC_int,-0.024582615
AgeCXMoodC_int,-0.002786065
AgeCXHypertensionC_int,-0.013929878
AgeCXEpilepsyC_int,-0.034946372
AgeCXBMIC_int,0.000671524
AgeCXNeedHelp1C_int,-0.024609867
AgeCXNeedHelp2C_int,-0.016608818
AgeCXNeedHelp3C_int,-0.036957964
AgeCXNeedHelp4C_int,-0.025498419
AgeCXNeedHelp5C_int,-0.023488379
AgeCXNeedHelp6C_int,-0.060376248
